ID,Source,Role,Date,Age Group,Program Name,Feedback Text,Sentiment Label
28,Camper Letter,Staff,2022-06-09,13-15,Sailing Program,Loved the sailing but the hike was exhausting.,Mixed
29,Social Media,Staff,2022-08-20,8-10,Sailing Program,"Counselors were great, but too many rules.",Mixed
30,Parent Email,Camper,2022-07-23,13-15,Sailing Program,"The location is nice, but I wish we had more options.",Neutral
31,Survey,Camper,2022-08-04,10-12,Hiking Adventures,Best summer ever! I learned to canoe and met awesome friends.,Positive
32,Camper Letter,Camper,2022-08-23,13-15,Hiking Adventures,Everything was well-organized and fun.,Positive
33,Social Media,Staff,2022-06-26,13-15,Arts & Crafts,I want to come back every year!,Positive
34,Social Media,Camper,2022-08-07,8-10,Hiking Adventures,The counselors were so kind and supportive.,Positive
35,Social Media,Parent,2022-08-14,10-12,Nature Exploration,I didn’t enjoy the food and felt homesick.,Negative
36,Camper Letter,Camper,2022-08-05,16-18,Arts & Crafts,"The schedule was okay, not too packed.",Neutral
37,Parent Email,Staff,2022-06-20,8-10,Leadership Circle,I want to come back every year!,Positive
38,Social Media,Camper,2022-07-19,13-15,Sailing Program,The views were amazing but the bugs were awful.,Mixed
39,Social Media,Staff,2022-08-14,8-10,Nature Exploration,My daughter had a great time but didn’t like the bathrooms.,Mixed
40,Camper Letter,Parent,2022-08-03,16-18,Arts & Crafts,Loved the sailing but the hike was exhausting.,Mixed
41,Social Media,Staff,2022-06-19,10-12,Leadership Circle,"Counselors were great, but too many rules.",Mixed
42,Parent Email,Staff,2022-08-01,13-15,Hiking Adventures,I loved the campfire nights and singing songs with my cabin!,Positive
43,Camper Letter,Parent,2022-07-23,13-15,Sailing Program,I got bored during free time.,Negative
44,Survey,Camper,2022-07-27,16-18,Leadership Circle,"It was fine, but I missed home a lot.",Neutral
45,Parent Email,Staff,2022-06-18,8-10,Nature Exploration,Everything was well-organized and fun.,Positive
46,Survey,Staff,2022-07-21,16-18,Arts & Crafts,Loved the sailing but the hike was exhausting.,Mixed
47,Survey,Parent,2022-08-09,8-10,Hiking Adventures,Loved the sailing but the hike was exhausting.,Mixed
48,Camper Letter,Camper,2022-06-26,13-15,Nature Exploration,Too many bugs in the woods.,Negative
49,Survey,Camper,2022-06-21,10-12,Sailing Program,I got bored during free time.,Negative
50,Social Media,Parent,2022-06-25,8-10,Hiking Adventures,Loved the sailing but the hike was exhausting.,Mixed
51,Camper Letter,Camper,2022-08-08,8-10,Leadership Circle,"The schedule was okay, not too packed.",Neutral
52,Parent Email,Staff,2022-08-25,10-12,Arts & Crafts,"The location is nice, but I wish we had more options.",Neutral
53,Survey,Staff,2022-07-08,13-15,Sailing Program,Loved the sailing but the hike was exhausting.,Mixed
54,Parent Email,Staff,2022-06-04,8-10,Hiking Adventures,Best summer ever! I learned to canoe and met awesome friends.,Positive
55,Survey,Camper,2022-06-19,16-18,Leadership Circle,"The schedule was okay, not too packed.",Neutral
56,Survey,Staff,2022-07-08,16-18,Arts & Crafts,It rained a lot and we stayed inside most of the time.,Negative
57,Parent Email,Staff,2022-08-18,10-12,Nature Exploration,I want to come back every year!,Positive
58,Camper Letter,Parent,2022-08-11,13-15,Sailing Program,"Counselors were great, but too many rules.",Mixed
59,Social Media,Staff,2022-07-03,10-12,Nature Exploration,I loved the campfire nights and singing songs with my cabin!,Positive
60,Camper Letter,Staff,2022-06-07,16-18,Hiking Adventures,Best summer ever! I learned to canoe and met awesome friends.,Positive
